wavelength,dark_current
802.03,1501.4
802.5,1503.4
802.97,1502.7
803.45,1501.6
803.92,1504.5
804.4,1504.1
804.87,1502.9
805.34,1502
805.82,1502.3
806.29,1500.1
806.76,1500.5
807.24,1501.4
807.71,1494.1
808.19,1500.1
808.66,1502.7
809.13,1502.5
809.61,1499.9
810.08,1500.7
810.56,1505.7
811.03,1499.2
811.5,1501.7
811.98,1500
812.45,1497.6
812.93,1502.3
813.4,1502.5
813.87,1505.9
814.35,1498.5
814.82,1501.7
815.3,1504
815.77,1505.3
816.25,1499.6
816.72,1500.9
817.2,1502.8
817.67,1504
818.14,1501.1
818.62,1504.2
819.09,1501.8
819.57,1500.3
820.04,1502.7
820.52,1504.1
820.99,1501.4
821.47,1501.05
821.94,1500.7
822.42,1502.6
822.89,1503
823.37,1502.1
823.84,1500.9
824.32,1502.2
824.79,1503
825.27,1500.3
825.74,1500.6
826.22,1504.6
826.69,1499.8
827.17,1501.7
827.64,1501.3
828.12,1502.6
828.6,1505
829.07,1502.2
829.55,1500.8
830.02,1502.6
830.5,1500.2
830.97,1501.4
831.45,1502
831.92,1504.7
832.4,1501.9
832.88,1503.8
833.35,1500.1
833.83,1497.2
834.3,1503.4
834.78,1503.4
835.25,1503
835.73,1500.2
836.21,1500.3
836.68,1500.5
837.16,1502.5
837.64,1503.4
838.11,1503.6
838.59,1502.9
839.06,1503.9
839.54,1503.5
840.02,1503.8
840.49,1507.8
840.97,1501
841.44,1502.6
841.92,1498.7
842.4,1502.4
842.87,1502.3
843.35,1505.9
843.83,1499.5
844.3,1500.5
844.78,1500.3
845.26,1503.7
845.73,1503
846.21,1500.4
846.69,1502.1
847.16,1502.6
847.64,1503.7
848.12,1501.3
848.59,1500.5
849.07,1500.8
849.55,1503.2
850.03,1500.6
850.5,1502.6
850.98,1502.9
851.46,1501.4
851.93,1505.5
852.41,1503
852.89,1499.6
853.37,1501.3
853.84,1502.5
854.32,1500.8
854.8,1501.8
855.28,1501.1
855.75,1501.1
856.23,1505.4
856.71,1501.5
857.19,1502.7
857.66,1505.5
858.14,1498.3
858.62,1502.3
859.1,1503.9
859.57,1502.3
860.05,1501.6
860.53,1502.7
861.01,1505
861.48,1504
861.96,1500.2
862.44,1502.1
862.92,1502.5
863.4,1504.3
863.87,1501.9
864.35,1502
864.83,1500.6
865.31,1503.5
865.79,1504
866.27,1495.8
866.74,1499.8
867.22,1504.3
867.7,1504
868.18,1502.6
868.66,1502.2
869.14,1504.2
869.61,1497.3
870.09,1500.2
870.57,1503.9
871.05,1503.7
871.53,1502.2
872.01,1502.2
872.49,1503
872.96,1505.4
873.44,1500.3
873.92,1501.9
874.4,1497.3
874.88,1502.6
875.36,1504.6
875.84,1500.4
876.32,1496
876.8,1502.3
877.27,1503.5
877.75,1501.6
878.23,1501.3
878.71,1503.1
879.19,1504.6
879.67,1502.9
880.15,1501.2
880.63,1502.8
881.11,1503.5
881.59,1502.4
882.07,1498.3
882.55,1501.2
883.03,1501.1
883.51,1503.3
883.98,1503.4
884.46,1505.2
884.94,1503.7
885.42,1503.8
885.9,1503.7
886.38,1500.2
886.86,1500.4
887.34,1501.4
887.82,1502.7
888.3,1501.8
888.78,1501.6
889.26,1500.4
889.74,1502.3
890.22,1502.5
890.7,1499.8
891.18,1501.6
891.66,1502.5
892.14,1502.5
892.62,1501.6
893.1,1505.2
893.58,1503.1
894.06,1505.4
894.54,1503.3
895.02,1504.1
895.5,1500.2
895.99,1498.8
896.47,1504.2
896.95,1501.1
897.43,1502.8
897.91,1503.6
898.39,1503.4
898.87,1501.6
899.35,1499
